CRITERIA_RAW_MIN,100
CRITERIA_RAW_MAX,30000
CRITERIA_SHORT_MIN,-100
CRITERIA_SHORT_MAX,150
CRITERIA_OPEN_MIN,0
CRITERIA_OPEN_MAX,500
CRITERIA_MICRO_OPEN_MIN,0
CRITERIA_MICRO_OPEN_MAX,500
CRITERIA_NOISE,100
CRITERIA_GAP_RAW_MIN,-1000
CRITERIA_GAP_RAW_MAX,1000
CRITERIA_SORTMIN,0
DOZE_NOISE_MIN,0
DOZE_NOISE_MAX,9999
DOZE_RAWDATA_MIN,0
DOZE_RAWDATA_MAX,9999
LPWUG_NOISE_MIN,0
LPWUG_NOISE_MAX,65535
LPWUG_RAWDATA_MIN,0
LPWUG_RAWDATA_MAX,65535
LPWUG_IDLE_NOISE_MIN,-999
LPWUG_IDLE_NOISE_MAX,65535
LPWUG_IDLE_RAWDATA_MIN,-999
LPWUG_IDLE_RAWDATA_MAX,65535
